brand_parent,model_parent,variant_parent,variant_name,price,displacement,power,transmission,mileage,fuel,engine_typr,cylinders,valves_per_cyl,gearbox,drive,fuel_cap,emission_norm,suspension_front,suspension_rear,steer_type,steer_col,turn_radius,brake_front,breake_rear,length,width,height,boot_cap,seat_cap,ground_cl,wheelbase,kerb_weight,gross_weight,doors,park_sensors,upholstery,radio_antenna,tyre_size,tyre_type,wheel_size,airbags,screen_size,connectivity,image-src,ncap_rating,ev_range,ev_battery_cap,ev_motor,ev_charge,ev_drag_coeff,zero_to_hundred,speakers,auto_park,ev_charge_time_dc,ev_charge_time_ac,ev_brake_regen_levels,ev_norm
Mahindra,Mahindra XUV300,XUV300 W8 Opt AMT DT Diesel,Mahindra XUV300 W8 Opt AMT DT Diesel,Rs.14.76 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1497 cc,115.05 bhp,,19.7 kmpl,Diesel,CRDi,4,4,6-Speed,FWD,,BS VI 2.0,MacPherson Strut with Anti-roll Bar,Twist Beam Suspension with Coil Spring,,Tilt,5.3,Disc,Disc,3995 mm,1821 mm,1627 mm,,5,,2600 mm,,,5,Front & Rear,Leatherette,,205/65 R16,Radial Tubeless,,6,7 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Mahindra,Mahindra XUV300,XUV300 W8 Opt AMT Diesel,Mahindra XUV300 W8 Opt AMT Diesel,Rs.14.61 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1497 cc,115.05 bhp,,19.7 kmpl,Diesel,CRDi,4,4,6-Speed,FWD,,BS VI 2.0,MacPherson Strut with Anti-roll Bar,Twist Beam Suspension with Coil Spring,,Tilt,5.3,Disc,Disc,3995 mm,1821 mm,1627 mm,,5,,2600 mm,,,5,Front & Rear,Leatherette,,205/65 R16,Radial Tubeless,,6,7 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Mahindra,Mahindra XUV300,XUV300 W8 Opt DT Diesel,Mahindra XUV300 W8 Opt DT Diesel,Rs.14.07 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1497 cc,115.05 bhp,,20.1 kmpl,Diesel,CRDi,4,4,6-Speed,FWD,,BS VI 2.0,MacPherson Strut with Anti-roll Bar,Twist Beam Suspension with Coil Spring,,Tilt,5.3,Disc,Disc,3995 mm,1821 mm,1627 mm,,5,,2600 mm,,,5,Front & Rear,Leatherette,,205/65 R16,Radial Tubeless,,6,7 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Mahindra,Mahindra XUV300,XUV300 W8 Opt Diesel,Mahindra XUV300 W8 Opt Diesel,Rs.13.92 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1497 cc,115.05 bhp,,20.1 kmpl,Diesel,CRDi,4,4,6-Speed,FWD,,BS VI 2.0,MacPherson Strut with Anti-roll Bar,Twist Beam Suspension with Coil Spring,,Tilt,5.3,Disc,Disc,3995 mm,1821 mm,1627 mm,,5,,2600 mm,,,5,Front & Rear,Leatherette,,205/65 R16,Radial Tubeless,,6,7 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Mahindra,Mahindra XUV300,XUV300 W8 Opt AMT DT,Mahindra XUV300 W8 Opt AMT DT,Rs.13.46 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1197 cc,108.62 bhp,,16.5 kmpl,Petrol,TCMPFi,3,4,6-Speed,FWD,42 Litres,BS VI 2.0,MacPherson Strut with Anti-roll Bar,Twist Beam Suspension with Coil Spring,,Tilt,5.3,Disc,Disc,3995 mm,1821 mm,1627 mm,,5,,2600 mm,,,5,Front & Rear,Leatherette,,205/65 R16,Radial Tubeless,,6,7 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Mahindra,Mahindra XUV300,XUV300 W8 Opt AMT,Mahindra XUV300 W8 Opt AMT,Rs.13.30 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1197 cc,108.62 bhp,,16.5 kmpl,Petrol,TCMPFi,3,4,6-Speed AMT,FWD,42 Litres,BS VI 2.0,MacPherson Strut with Anti-roll Bar,Twist Beam Suspension with Coil Spring,,Tilt,5.3,Disc,Disc,3995 mm,1821 mm,1627 mm,,5,,2600 mm,,,5,Front & Rear,Leatherette,,205/65 R16,Radial Tubeless,,6,7 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Mahindra,Mahindra XUV300,XUV300 W8 Opt Turbo DT,Mahindra XUV300 W8 Opt Turbo DT,Rs.13.15 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1197 cc,128.73 bhp,,18.24 kmpl,Petrol,TGDi,3,4,6-Speed,FWD,42 Litres,BS VI 2.0,MacPherson Strut with Anti-roll Bar,Twist Beam Suspension with Coil Spring,,Tilt,5.3,Disc,Disc,3995 mm,1821 mm,1627 mm,,5,,2600 mm,,,5,Front & Rear,Leatherette,,205/65 R16,Radial Tubeless,,6,7 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Mahindra,Mahindra XUV300,XUV300 W8 DT Diesel,Mahindra XUV300 W8 DT Diesel,Rs.13.15 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1497 cc,115.05 bhp,,,Diesel,CRDi,4,4,6-Speed,FWD,,BS VI 2.0,MacPherson Strut with Anti-roll Bar,Twist Beam Suspension with Coil Spring,,Tilt,5.3,Disc,Disc,3995 mm,1821 mm,1627 mm,,5,,2600 mm,,,5,Rear,Fabric,,205/65 R16,Radial Tubeless,,No. of Airbags,7 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Mahindra,Mahindra XUV300,XUV300 W8 Opt Turbo,Mahindra XUV300 W8 Opt Turbo,Rs.13.01 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1197 cc,128.73 bhp,,18.24 kmpl,Petrol,TGDi,3,4,6-Speed,FWD,42 Litres,BS VI 2.0,MacPherson Strut with Anti-roll Bar,Twist Beam Suspension with Coil Spring,,Tilt,5.3,Disc,Disc,3995 mm,1821 mm,1627 mm,,5,,2600 mm,,,5,Front & Rear,Leatherette,,205/65 R16,Radial Tubeless,,6,7 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Mahindra,Mahindra XUV300,XUV300 W8 Diesel,Mahindra XUV300 W8 Diesel,Rs.13 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1497 cc,115.05 bhp,,,Diesel,CRDi,4,4,6-Speed,FWD,,BS VI 2.0,MacPherson Strut with Anti-roll Bar,Twist Beam Suspension with Coil Spring,,Tilt,5.3,Disc,Disc,3995 mm,1821 mm,1627 mm,,5,,2600 mm,,,5,Rear,Fabric,,205/65 R16,Radial Tubeless,,No. of Airbags,7 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Mahindra,Mahindra XUV300,XUV300 W8 Opt DT,Mahindra XUV300 W8 Opt DT,Rs.12.76 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1197 cc,108.62 bhp,,16.82 kmpl,Petrol,TCMPFi,3,4,6-Speed,FWD,42 Litres,BS VI 2.0,MacPherson Strut with Anti-roll Bar,Twist Beam Suspension with Coil Spring,,Tilt,5.3,Disc,Disc,3995 mm,1821 mm,1627 mm,,5,,2600 mm,,,5,Front & Rear,Leatherette,,205/65 R16,Radial Tubeless,,6,7 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Mahindra,Mahindra XUV300,XUV300 W8 Opt,Mahindra XUV300 W8 Opt,Rs.12.61 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1197 cc,108.62 bhp,,16.82 kmpl,Petrol,TCMPFi,3,4,6-Speed,FWD,42 Litres,BS VI 2.0,MacPherson Strut with Anti-roll Bar,Twist Beam Suspension with Coil Spring,,Tilt,5.3,Disc,Disc,3995 mm,1821 mm,1627 mm,,5,,2600 mm,,,5,Rear,Leatherette,,205/65 R16,Radial Tubeless,,6,7 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Mahindra,Mahindra XUV300,XUV300 W6 AMT Diesel,Mahindra XUV300 W6 AMT Diesel,Rs.12.30 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1497 cc,115.05 bhp,,,Diesel,CRDi,4,4,6-Speed,FWD,,BS VI 2.0,MacPherson Strut with Anti-roll Bar,Twist Beam Suspension with Coil Spring,,Tilt,5.3,Disc,Disc,3995 mm,1821 mm,1627 mm,,5,,2600 mm,,,5,Rear,Fabric,,205/65 R16,Radial Tubeless,16 Inch,No. of Airbags,,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Mahindra,Mahindra XUV300,XUV300 W8 Turbo DT,Mahindra XUV300 W8 Turbo DT,Rs.12.16 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1197 cc,128.73 bhp,,17 kmpl,Petrol,TGDi,3,4,6-Speed,FWD,42 Litres,BS VI 2.0,MacPherson Strut with Anti-roll Bar,Twist Beam Suspension with Coil Spring,,Tilt,5.3,Disc,Disc,3995 mm,1821 mm,1627 mm,,5,,2600 mm,,,5,Rear,Fabric,,205/65 R16,Radial Tubeless,,2,7 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Mahindra,Mahindra XUV300,XUV300 W8 Turbo,Mahindra XUV300 W8 Turbo,Rs.12.01 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1197 cc,128.73 bhp,,17 kmpl,Petrol,TGDi,3,4,6-Speed,FWD,42 Litres,BS VI 2.0,MacPherson Strut with Anti-roll Bar,Twist Beam Suspension with Coil Spring,,Tilt,5.3,Disc,Disc,3995 mm,1821 mm,1627 mm,,5,,2600 mm,,,5,Rear,Fabric,,205/65 R16,Radial Tubeless,,2,7 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Mahindra,Mahindra XUV300,XUV300 W8 DT,Mahindra XUV300 W8 DT,Rs.11.65 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1197 cc,108.62 bhp,Manual,16.82 kmpl,Petrol,TCMPFi,3,4,6-Speed,FWD,42 Litres,BS VI 2.0,MacPherson Strut with Anti-roll Bar,Twist Beam Suspension with Coil Spring,,Tilt,5.3,Disc,Disc,3995 mm,1821 mm,1627 mm,,5,,2600 mm,,,5,Rear,,,205/65 R16,Radial Tubeless,,2,7 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Mahindra,Mahindra XUV300,XUV300 W8,Mahindra XUV300 W8,Rs.11.51 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1197 cc,108.62 bhp,Manual,16.82 kmpl,Petrol,TCMPFi,3,4,6-Speed,FWD,42 Litres,BS VI 2.0,MacPherson Strut with Anti-roll Bar,Twist Beam Suspension with Coil Spring,,Tilt,5.3,Disc,Disc,3995 mm,1821 mm,1627 mm,,5,,2600 mm,,,5,Rear,Fabric,,205/65 R16,Radial Tubeless,,2,7 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Mahindra,Mahindra XUV300,XUV300 W6 Diesel,Mahindra XUV300 W6 Diesel,Rs.11 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1497 cc,115.05 bhp,Manual,,Diesel,CRDi,4,4,6-Speed,FWD,,BS VI 2.0,MacPherson Strut with Anti-roll Bar,Twist Beam Suspension with Coil Spring,,Tilt,5.3,Disc,Disc,3995 mm,1821 mm,1627 mm,,5,,2600 mm,,,5,Rear,Fabric,,205/65 R16,Radial Tubeless,16 Inch,No. of Airbags,,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Mahindra,Mahindra XUV300,XUV300 W6 AMT,Mahindra XUV300 W6 AMT,Rs.10.71 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1197 cc,108.62 bhp,Automatic,,Petrol,TCMPFi,3,4,6-Speed,FWD,42 Litres,BS VI 2.0,MacPherson Strut with Anti-roll Bar,Twist Beam Suspension with Coil Spring,,Tilt,5.3,Disc,Disc,3995 mm,1821 mm,1627 mm,,5,,2600 mm,,,5,Rear,Fabric,,205/65 R16,Radial Tubeless,16 Inch,No. of Airbags,,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Mahindra,Mahindra XUV300,XUV300 W6 Turbo,Mahindra XUV300 W6 Turbo,Rs.10.51 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1197 cc,128.73 bhp,Manual,,Petrol,TGDi,3,4,6-Speed,FWD,42 Litres,BS VI 2.0,MacPherson Strut with Anti-roll Bar,Twist Beam Suspension with Coil Spring,,Tilt,5.3,Disc,Disc,3995 mm,1821 mm,1627 mm,,5,,2600 mm,,,5,Rear,Fabric,,205/65 R16,Radial Tubeless,16 Inch,No. of Airbags,,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Mahindra,Mahindra XUV300,XUV300 W4 Diesel,Mahindra XUV300 W4 Diesel,Rs.10.21 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1497 cc,115.05 bhp,Manual,,Diesel,CRDi,4,4,6-Speed,FWD,,BS VI 2.0,MacPherson Strut with Anti-roll Bar,Twist Beam Suspension with Coil Spring,,Tilt,5.3,Disc,Disc,3995 mm,1821 mm,1627 mm,,5,,2600 mm,,,5,Rear,Fabric,,205/65 R16,Radial Tubeless,16 Inch,No. of Airbags,,,,5 Star,,,,,,,,,,,,BS VI 2.0
Mahindra,Mahindra XUV300,XUV300 W6,Mahindra XUV300 W6,Rs.10 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1197 cc,108.62 bhp,Manual,,Petrol,TCMPFi,3,4,6-Speed,FWD,42 Litres,BS VI 2.0,MacPherson Strut with Anti-roll Bar,Twist Beam Suspension with Coil Spring,,Tilt,5.3,Disc,Disc,3995 mm,1821 mm,1627 mm,,5,,2600 mm,,,5,Rear,Fabric,,205/65 R16,Radial Tubeless,16 Inch,No. of Airbags,,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Mahindra,Mahindra XUV300,XUV300 W4 Turbo,Mahindra XUV300 W4 Turbo,Rs.9.31 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1197 cc,128.73 bhp,Manual,,Petrol,TGDi,3,4,6-Speed,FWD,42 Litres,BS VI 2.0,MacPherson Strut with Anti-roll Bar,Twist Beam Suspension with Coil Spring,,Tilt,5.3,Disc,Disc,3995 mm,1821 mm,1627 mm,,5,,2600 mm,,,5,Rear,Fabric,,205/65 R16,Radial Tubeless,16 Inch,No. of Airbags,,,,5 Star,,,,,,,,,,,,BS VI 2.0
Mahindra,Mahindra XUV300,XUV300 W4,Mahindra XUV300 W4,Rs.8.67 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1197 cc,108.62 bhp,Manual,,Petrol,TCMPFi,3,4,6-Speed,FWD,42 Litres,BS VI 2.0,MacPherson Strut with Anti-roll Bar,Twist Beam Suspension with Coil Spring,,Tilt,5.3,Disc,Disc,3995 mm,1821 mm,1627 mm,,5,,2600 mm,,,5,Rear,Fabric,,205/65 R16,Radial Tubeless,16 Inch,No. of Airbags,,,,5 Star,,,,,,,,,,,,BS VI 2.0
Mahindra,Mahindra XUV300,XUV300 W2,Mahindra XUV300 W2,Rs.7.99 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1197 cc,108.62 bhp,Manual,16.82 kmpl,Petrol,TCMPFi,3,4,6-Speed,FWD,42 Litres,BS VI 2.0,MacPherson Strut with Anti-roll Bar,Twist Beam Suspension with Coil Spring,,No,5.3,Disc,Disc,3995 mm,1821 mm,1627 mm,,5,,2600 mm,,,5,Rear,Fabric,,NA,Radial Tubeless,,2,,,,5 Star,,,,,,,,,,,,BS VI 2.0
Mahindra,Mahindra Scorpio N,Scorpio N Z8L Diesel 4x4 AT,Mahindra Scorpio N Z8L Diesel 4x4 AT,Rs.24.54 Lakh*Get On-Road Price*Ex-showroom Price in Pune,2198 cc,172.45 bhp,,,Diesel,mHawk (CRDi),4,4,6-Speed,4WD,,BS VI 2.0,Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL,Electric,Tilt,,Ventilated Disc,Ventilated Disc,4662 mm,1917 mm,1857 mm,460 Litres,7,,2750 mm,,,5,Front & Rear,Leatherette,Shark Fin,255/60 R18,"Tubeless,Radial",,No. of Airbags,8 Inch,,,,,,,,,,12,,,,,BS VI 2.0
Mahindra,Mahindra Scorpio N,Scorpio N Z8 Diesel 4x4 AT,Mahindra Scorpio N Z8 Diesel 4x4 AT,Rs.23.09 Lakh*Get On-Road Price*Ex-showroom Price in Pune,2198 cc,172.45 bhp,,,Diesel,mHawk (CRDi),4,4,6-Speed,4WD,,BS VI 2.0,Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL,Electric,Tilt,,Ventilated Disc,Ventilated Disc,4662 mm,1917 mm,1857 mm,460 Litres,7,,2750 mm,,,5,Rear,Leatherette,Shark Fin,245/65 R17,"Tubeless,Radial",,No. of Airbags,8 Inch,,,,,,,,,,4,,,,,BS VI 2.0
Mahindra,Mahindra Scorpio N,Scorpio N Z8L Diesel 4x4,Mahindra Scorpio N Z8L Diesel 4x4,Rs.22.98 Lakh*Get On-Road Price*Ex-showroom Price in Pune,2198 cc,172.45 bhp,,,Diesel,mHawk (CRDi),4,4,6-Speed,4WD,,BS VI 2.0,Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL,Electric,Tilt,,Ventilated Disc,Ventilated Disc,4662 mm,1917 mm,1857 mm,460 Litres,7,,2750 mm,,,5,Front & Rear,Leatherette,Shark Fin,255/60 R18,"Tubeless,Radial",,No. of Airbags,8 Inch,,,,,,,,,,12,,,,,BS VI 2.0
Mahindra,Mahindra Scorpio N,Scorpio N Z8L 6 Str Diesel AT,Mahindra Scorpio N Z8L 6 Str Diesel AT,Rs.22.48 Lakh*Get On-Road Price*Ex-showroom Price in Pune,2198 cc,172.45 bhp,,,Diesel,mHawk (CRDi),4,4,6-Speed,RWD,,BS VI 2.0,Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL,Electric,Tilt,,Ventilated Disc,Ventilated Disc,4662 mm,1917 mm,1857 mm,460 Litres,6,,2750 mm,,,5,Front & Rear,Leatherette,Shark Fin,255/60 R18,"Tubeless,Radial",,No. of Airbags,8 Inch,,,,,,,,,,12,,,,,BS VI 2.0
Mahindra,Mahindra Scorpio N,Scorpio N Z8L Diesel AT,Mahindra Scorpio N Z8L Diesel AT,Rs.22.24 Lakh*Get On-Road Price*Ex-showroom Price in Pune,2198 cc,172.45 bhp,,,Diesel,mHawk (CRDi),4,4,6-Speed,RWD,,BS VI 2.0,Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL,Electric,Tilt,,Ventilated Disc,Ventilated Disc,4662 mm,1917 mm,1857 mm,460 Litres,7,,2750 mm,,,5,Front & Rear,Leatherette,Shark Fin,255/60 R18,"Tubeless,Radial",,No. of Airbags,8 Inch,,,,,,,,,,12,,,,,BS VI 2.0
Mahindra,Mahindra Scorpio N,Scorpio N Z8L 6 Str AT,Mahindra Scorpio N Z8L 6 Str AT,Rs.21.98 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1997 cc,200 bhp,,,Petrol,mStallion (TGDi),4,4,6-Speed,RWD,57 Litres,BS VI 2.0,Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL,Electric,Tilt,,Ventilated Disc,Ventilated Disc,4662 mm,1917 mm,1857 mm,460 Litres,6,,2750 mm,,,5,Front & Rear,Leatherette,Shark Fin,255/60 R18,"Tubeless,Radial",,No. of Airbags,8 Inch,,,,,,,,,,12,,,,,BS VI 2.0
Mahindra,Mahindra Scorpio N,Scorpio N Z8L AT,Mahindra Scorpio N Z8L AT,Rs.21.79 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1997 cc,200 bhp,,,Petrol,mStallion (TGDi),4,4,6-Speed,RWD,57 Litres,BS VI 2.0,Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL,Electric,Tilt,,Ventilated Disc,Ventilated Disc,4662 mm,1917 mm,1857 mm,460 Litres,7,,2750 mm,,,5,Front & Rear,Leatherette,Shark Fin,255/60 R18,"Tubeless,Radial",,No. of Airbags,8 Inch,,,,,,,,,,12,,,,,BS VI 2.0
Mahindra,Mahindra Scorpio N,Scorpio N Z8 Diesel 4x4,Mahindra Scorpio N Z8 Diesel 4x4,Rs.21.37 Lakh*Get On-Road Price*Ex-showroom Price in Pune,2198 cc,172.45 bhp,,,Diesel,mHawk (CRDi),4,4,6-Speed,4WD,,BS VI 2.0,Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL,Electric,Tilt,,Ventilated Disc,Ventilated Disc,4662 mm,1917 mm,1857 mm,460 Litres,7,,2750 mm,,,5,Rear,Leatherette,Shark Fin,245/65 R17,"Tubeless,Radial",17 Inch,No. of Airbags,8 Inch,,,,,,,,,,4,,,,,BS VI 2.0
Mahindra,Mahindra Scorpio N,Scorpio N Z8L 6 Str Diesel,Mahindra Scorpio N Z8L 6 Str Diesel,Rs.21.12 Lakh*Get On-Road Price*Ex-showroom Price in Pune,2198 cc,172.45 bhp,,,Diesel,mHawk (CRDi),4,4,6-Speed,RWD,,BS VI 2.0,Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL,Electric,Tilt,,Ventilated Disc,Ventilated Disc,4662 mm,1917 mm,1857 mm,460 Litres,6,,2750 mm,,,5,Front & Rear,Leatherette,Shark Fin,255/60 R18,"Tubeless,Radial",,No. of Airbags,8 Inch,,,,,,,,,,12,,,,,BS VI 2.0
Mahindra,Mahindra Scorpio N,Scorpio N Z8L Diesel,Mahindra Scorpio N Z8L Diesel,Rs.20.78 Lakh*Get On-Road Price*Ex-showroom Price in Pune,2198 cc,172.45 bhp,,,Diesel,mHawk (CRDi),4,4,6-Speed,RWD,,BS VI 2.0,Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL,Electric,Tilt,,Ventilated Disc,Ventilated Disc,4662 mm,1917 mm,1857 mm,460 Litres,7,,2750 mm,,,5,Front & Rear,Leatherette,Shark Fin,255/60 R18,"Tubeless,Radial",,No. of Airbags,8 Inch,,,,,,,,,,12,,,,,BS VI 2.0
Mahindra,Mahindra Scorpio N,Scorpio N Z8 Diesel AT,Mahindra Scorpio N Z8 Diesel AT,Rs.20.73 Lakh*Get On-Road Price*Ex-showroom Price in Pune,2198 cc,172.45 bhp,,,Diesel,mHawk (CRDi),4,4,6-Speed,RWD,,BS VI 2.0,Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL,Electric,Tilt,,Ventilated Disc,Ventilated Disc,4662 mm,1917 mm,1857 mm,460 Litres,7,,2750 mm,,,5,Rear,Leatherette,Shark Fin,245/65 R17,"Tubeless,Radial",,No. of Airbags,8 Inch,,,,,,,,,,4,,,,,BS VI 2.0
Mahindra,Mahindra Scorpio N,Scorpio N Z8L 6 Str,Mahindra Scorpio N Z8L 6 Str,Rs.20.62 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1997 cc,200 bhp,,,Petrol,mStallion (TGDi),4,4,6-Speed,RWD,57 Litres,BS VI 2.0,Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL,Electric,Tilt,,Ventilated Disc,Ventilated Disc,4662 mm,1917 mm,1857 mm,460 Litres,6,,2750 mm,,,5,Front & Rear,Leatherette,Shark Fin,255/60 R18,"Tubeless,Radial",,No. of Airbags,8 Inch,,,,,,,,,,12,,,,,BS VI 2.0
Mahindra,Mahindra Scorpio N,Scorpio N Z8L,Mahindra Scorpio N Z8L,Rs.20.37 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1997 cc,200 bhp,,,Petrol,mStallion (TGDi),4,4,6-Speed,RWD,57 Litres,BS VI 2.0,Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL,Electric,Tilt,,Ventilated Disc,Ventilated Disc,4662 mm,1917 mm,1857 mm,460 Litres,7,,2750 mm,,,5,Front & Rear,Leatherette,Shark Fin,255/60 R18,"Tubeless,Radial",,No. of Airbags,8 Inch,,,,,,,,,,12,,,,,BS VI 2.0
Mahindra,Mahindra Scorpio N,Scorpio N Z8 AT,Mahindra Scorpio N Z8 AT,Rs.20.25 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1997 cc,200 bhp,,,Petrol,mStallion (TGDi),4,4,6-Speed,RWD,57 Litres,BS VI 2.0,Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL,Electric,Tilt,,Ventilated Disc,Ventilated Disc,4662 mm,1917 mm,1857 mm,460 Litres,7,,2750 mm,,,5,Rear,Leatherette,Shark Fin,245/65 R17,"Tubeless,Radial",,No. of Airbags,8 Inch,,,,,,,,,,4,,,,,BS VI 2.0
Mahindra,Mahindra Scorpio N,Scorpio N Z8 Diesel,Mahindra Scorpio N Z8 Diesel,Rs.19.20 Lakh*Get On-Road Price*Ex-showroom Price in Pune,2198 cc,172.45 bhp,,,Diesel,mHawk (CRDi),4,4,6-Speed,RWD,,BS VI 2.0,Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL,Electric,Tilt,,Ventilated Disc,Ventilated Disc,4662 mm,1917 mm,1857 mm,460 Litres,7,,2750 mm,,,5,Rear,Leatherette,Shark Fin,245/65 R17,"Tubeless,Radial",17 Inch,No. of Airbags,8 Inch,,,,,,,,,,4,,,,,BS VI 2.0
Mahindra,Mahindra Scorpio N,Scorpio N Z8 Select Diesel AT,Mahindra Scorpio N Z8 Select Diesel AT,Rs.19.09 Lakh*Get On-Road Price*Ex-showroom Price in Pune,2198 cc,172.45 bhp,,,Diesel,mHawk (CRDi),4,4,6-Speed,RWD,,BS VI 2.0,Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL,Electric,Tilt,,Ventilated Disc,Ventilated Disc,4662 mm,1917 mm,1857 mm,460 Litres,7,,2750 mm,,,5,Rear,Leatherette,Shark Fin,245/65 R17,"Tubeless,Radial",,No. of Airbags,8 Inch,,,,,,,,,,4,,,,,BS VI 2.0
Mahindra,Mahindra Scorpio N,Scorpio N Z8,Mahindra Scorpio N Z8,Rs.18.74 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1997 cc,200 bhp,,,Petrol,mStallion (TGDi),4,4,6-Speed,RWD,57 Litres,BS VI 2.0,Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL,Electric,Tilt,,Ventilated Disc,Ventilated Disc,4662 mm,1917 mm,1857 mm,460 Litres,7,,2750 mm,,,5,Rear,Leatherette,Shark Fin,245/65 R17,"Tubeless,Radial",17 Inch,No. of Airbags,8 Inch,,,,,,,,,,4,,,,,BS VI 2.0
