brand_parent,model_parent,variant_parent,variant_name,price,displacement,power,transmission,mileage,fuel,engine_typr,cylinders,valves_per_cyl,gearbox,drive,fuel_cap,emission_norm,suspension_front,suspension_rear,steer_type,steer_col,turn_radius,brake_front,breake_rear,length,width,height,boot_cap,seat_cap,ground_cl,wheelbase,kerb_weight,gross_weight,doors,park_sensors,upholstery,radio_antenna,tyre_size,tyre_type,wheel_size,airbags,screen_size,connectivity,image-src,ncap_rating,ev_range,ev_battery_cap,ev_motor,ev_charge,ev_drag_coeff,zero_to_hundred,speakers,auto_park,ev_charge_time_dc,ev_charge_time_ac,ev_brake_regen_levels,ev_norm
Rolls-Royce,Rolls-Royce Phantom,Phantom Series II,Rolls-Royce Phantom Series II,Rs.8.99 Cr*Get On-Road Price*Ex-showroom Price in Pune,6749 cc,563 bhp,Automatic,,Petrol,V12 Petrol Engine,12,4,8-Speed,RWD,100 Litres,BS VI,Double Wishbone,Multi Link,Power,Tilt,6.9 metres,Ventilated Disc,Ventilated Disc,5762 mm,2018 mm,1646 mm,460 Litres,5,150 mm,3552 mm,2635 kg,3110 kg,4,Front & Rear,Optional,,"255/50 R21,285/45 R21","Tubeless,Radial",,9,,,,,,,,,,,,Full,,,,BS VI
Rolls-Royce,Rolls-Royce Ghost,Ghost V12 Extended,Rolls-Royce Ghost V12 Extended,Rs.7.95 Cr*Get On-Road Price*Ex-showroom Price in Pune,6750 cc,563 bhp,Automatic,,Petrol,EngineType,12,4,8-speed AT,AWD,,BS VI,,,,,,,,5627 mm,1948 mm,1552 mm,490 Litres,5,,3465 mm,2525 kg,,5,Front & Rear,,,,,,6,,,,,,,,,,,,Semi,,,,BS VI
Rolls-Royce,Rolls-Royce Ghost,Ghost V12,Rolls-Royce Ghost V12,Rs.6.95 Cr*Get On-Road Price*Ex-showroom Price in Pune,6750 cc,563 bhp,Automatic,,Petrol,EngineType,12,4,8-speed AT,AWD,,BS VI,,,,,,,,5457 mm,1948 mm,1550 mm,490 Litres,5,,3295 mm,2435 kg,,5,Front & Rear,,,,,,6,,,,,,,,,,,,Semi,,,,BS VI
Pravaig,Pravaig DEFY,DEFY Hacker Edition,Pravaig DEFY Hacker Edition,Rs.39.50 Lakh*Get On-Road Price*Ex-showroom Price in Pune,,402 bhp,,,Electric,,,,1-Speed,AWD,,ZEV,Independent Double wishbone with adjustable coil overs Suspension,Independent Double wishbone with adjustable coil overs Suspension,,,,,,4940 mm,1940 mm,1650 mm,680 Litres,4,234 mm,2750 mm,,2061 kg,5,Front & Rear,,,,,,6,,,,,500 km,90.9 kWh,,CCS-I,0.33,4.9sec,,,30mins,,,ZEV
Porsche,Porsche Cayenne Coupe,Cayenne Coupe GTS,Porsche Cayenne Coupe GTS,Rs.2.01 Cr*Get On-Road Price*Ex-showroom Price in Pune,2894 cc,348.66 bhp,Automatic,,Petrol,3.0-litre turbocharged V6 engine,6,4,8-Speed,AWD,,BS VI 2.0,Adaptive air suspension with levelling system and height adjustment incl.(PASM),Adaptive air suspension with levelling system and height adjustment incl.(PASM),Electric,Tilt & Telescopic,,Disc,Disc,4931 mm,1983 mm,1676 mm,625 Litres,4,,,,,4,Front & Rear,,,,"Tubeless, Radial",,6,,,,,,,,,,,10,,,,,BS VI 2.0
Porsche,Porsche Cayenne Coupe,Cayenne Coupe STD,Porsche Cayenne Coupe STD,Rs.1.42 Cr*Get On-Road Price*Ex-showroom Price in Pune,2894 cc,348.66 bhp,Automatic,,Petrol,3.0-litre turbocharged V6 engine,6,4,8-Speed,AWD,75 Litres,BS VI 2.0,Adaptive air suspension with levelling system and height adjustment incl.(PASM),Adaptive air suspension with levelling system and height adjustment incl.(PASM),Electric,Tilt & Telescopic,,Disc,Disc,4931 mm,1983 mm,1676 mm,625 Litres,4,,,,,4,Front & Rear,,,,"Tubeless, Radial",,6,,,,,,,,,,,10,,,,,BS VI 2.0
Porsche,Porsche Taycan,Taycan Turbo S,Porsche Taycan Turbo S,Rs.2.44 Cr*Get On-Road Price*Ex-showroom Price in Pune,,482.76 bhp,,,Electric,,,,2-Speed,AWD,,ZEV,Adaptive air suspension,Adaptive air suspension,,Adjustable,12m,ventilated disc,ventilated disc,4974 mm,2144 mm,1395 mm,446 Litres,5,,2520 mm,2245 kg,2870 kg,5,Front & Rear,,,,"Tubeless,Radial","Tubeless,Radial Inch",No. of Airbags,10.9,,,,388–452 km,93.4 kWh,,CCS-II,0.22,2.8sec,21,Semi,,,,ZEV
Porsche,Porsche Taycan,Taycan Turbo Cross Turismo,Porsche Taycan Turbo Cross Turismo,Rs.2.25 Cr*Get On-Road Price*Ex-showroom Price in Pune,,616.87 bhp,,,Electric,,,,2-Speed,AWD,,ZEV,Adaptive air suspension,Adaptive air suspension,,Adjustable,12m,ventilated disc,ventilated disc,4974 mm,2144 mm,1395 mm,405 Litres,5,,2360 mm,2320 kg,2880 kg,5,Front & Rear,,,,"Tubeless,Radial","Tubeless,Radial Inch",No. of Airbags,10.9,,,,395–452 km,93.4 kWh,,CCS-II,0.22,3.3sec,21,Semi,,,,ZEV
Porsche,Porsche Taycan,Taycan Turbo,Porsche Taycan Turbo,Rs.2.23 Cr*Get On-Road Price*Ex-showroom Price in Pune,,482.76 bhp,,,Electric,,,,2-Speed,AWD,,ZEV,Adaptive air suspension,Adaptive air suspension,,Adjustable,12m,ventilated disc,ventilated disc,4974 mm,2144 mm,1395 mm,446 Litres,5,,2702 mm,2245 kg,2880 kg,5,Front & Rear,,,,"Tubeless,Radial","Tubeless,Radial Inch",No. of Airbags,10.9,,,,388–452 km,93.4 kWh,,CCS-II,0.22,3.2sec,21,Semi,,,,ZEV
Porsche,Porsche Taycan,Taycan GTS,Porsche Taycan GTS,Rs.2.04 Cr*Get On-Road Price*Ex-showroom Price in Pune,,482.76 bhp,,,Electric,,,,2-Speed,AWD,,ZEV,Adaptive air suspension,Adaptive air suspension,,Adjustable,12m,ventilated disc,ventilated disc,4974 mm,2144 mm,1395 mm,446 Litres,5,,2651 mm,2245 kg,2880 kg,5,Front & Rear,,,,"Tubeless,Radial","Tubeless,Radial Inch",No. of Airbags,10.9,,,,388–452 km,93.4 kWh,,CCS-II,0.22,3.7sec,21,,,,,ZEV
